wweia_food_category,wweia_food_category_description,matched_wweia_food_category_from_api,fdc_id,food_code,main_food_description,main_food_description_zh,data_type,additional_food_description,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
1004,"Milk, reduced fat","Milk, reduced fat",2705384,11100000,"Milk, NFS",牛奶，未特别说明,Survey (FNDDS),,3.33,2.14,4.83,52.0,0.0,88.9,0.0,0.0,4.88,0.0,125.0,0.0,12.0,103.0,156.0,39.0,0.43,0.001,1.9,57.0,58.0,4.0,0.0,0.03,1.1,0.0,0.0,0.0,0.1,0.057,0.137,0.11,0.061,1.0,0.56,17.9,0.2,0.0,1.0,1.0,0.0,0.0,9.0,1.25,0.046,0.036,0.023,0.056,0.065,0.204,0.576,0.208,0.465,0.074,0.008,0.003,0.0,0.032,0.0,0.002,0.0,0.0,0.001,0.458,0.07
1006,"Milk, lowfat","Milk, lowfat",2705387,11112210,"Milk, low fat (1%)",牛奶，低脂 （1%）,Survey (FNDDS),,3.38,0.95,5.18,43.0,0.0,89.7,0.0,0.0,4.96,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,2.1,58.0,58.0,1.0,0.0,0.02,1.1,0.0,0.0,0.0,0.0,0.057,0.14,0.113,0.06,2.0,0.61,17.4,0.1,0.0,2.0,2.0,0.0,0.0,5.0,0.568,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032
1006,"Milk, lowfat","Milk, lowfat",2705389,11114300,"Milk, lactose free, low fat (1%)",牛奶，无乳糖，低脂 （1%）,Survey (FNDDS),,3.38,0.95,5.18,43.0,0.0,89.7,0.0,0.0,4.96,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,2.1,58.0,58.0,1.0,0.0,0.02,1.1,0.0,0.0,0.0,0.0,0.057,0.14,0.113,0.06,2.0,0.61,17.4,0.1,0.0,2.0,2.0,0.0,0.0,5.0,0.568,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032
1006,"Milk, lowfat","Milk, lowfat",2705394,11115400,Kefir,开菲尔发酵乳,Survey (FNDDS),all types;fermented milk drink,3.59,0.96,7.48,52.0,0.0,87.3,0.0,0.0,6.91,0.0,124.0,0.04,12.0,100.0,159.0,38.0,0.45,0.009,3.6,174.0,174.0,2.0,0.0,0.04,1.0,0.0,0.0,0.0,0.8,0.03,0.172,0.128,0.059,18.0,0.3,15.2,0.6,0.0,18.0,18.0,0.0,0.0,5.0,0.596,0.027,0.016,0.007,0.02,0.026,0.094,0.28,0.106,0.252,0.038,0.006,0.002,0.0,0.019,0.0,0.004,0.0,0.0,0.001,0.286,0.047
1008,"Milk, nonfat","Milk, nonfat",2705396,11120000,"Milk, dry, reconstituted, nonfat",牛奶，干粉，复原，脱脂,Survey (FNDDS),1% fat;2% fat;NS as to fat content,3.2,0.07,4.6,32.0,0.0,91.3,0.0,0.0,4.6,0.0,114.0,0.03,11.0,86.0,159.0,51.0,0.37,0.013,2.4,58.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.037,0.137,0.084,0.032,4.0,0.36,15.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.044,0.002,0.001,0.001,0.002,0.001,0.007,0.021,0.008,0.015,0.002,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.003
1008,"Milk, nonfat","Milk, nonfat",2705388,11113000,"Milk, fat free (skim)",牛奶，无脂 （脱脂）,Survey (FNDDS),,3.43,0.08,4.92,34.0,0.0,90.8,0.0,0.0,5.05,0.0,132.0,0.0,12.0,107.0,167.0,41.0,0.45,0.002,2.0,64.0,64.0,2.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.056,0.131,0.118,0.058,2.0,0.58,18.2,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.049,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009,0.018,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.006
1008,"Milk, nonfat","Milk, nonfat",2705401,11212050,"Milk, evaporated, fat free (skim)",牛奶，淡炼乳，无脂 （脱脂）,Survey (FNDDS),,7.55,0.2,11.4,78.0,0.0,79.4,0.0,0.0,11.4,0.0,290.0,0.29,27.0,195.0,332.0,115.0,0.9,0.016,2.5,118.0,118.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.045,0.309,0.174,0.055,9.0,0.24,25.2,0.0,0.0,9.0,9.0,0.0,0.0,4.0,0.121,0.005,0.004,0.001,0.003,0.004,0.019,0.054,0.024,0.056,0.004,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.062,0.006
1008,"Milk, nonfat","Milk, nonfat",2705390,11114320,"Milk, lactose free, fat free (skim)",牛奶，无乳糖，无脂 （脱脂）,Survey (FNDDS),,3.43,0.08,4.92,34.0,0.0,90.8,0.0,0.0,5.05,0.0,132.0,0.0,12.0,107.0,167.0,41.0,0.45,0.002,2.0,64.0,64.0,2.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.056,0.131,0.118,0.058,2.0,0.58,18.2,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.049,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009,0.018,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.006
1202,"Flavored milk, whole","Flavored milk, whole",2705496,11519050,"Strawberry milk, whole",草莓 牛奶，全脂/完整,Survey (FNDDS),other flavors,3.03,2.97,11.8,86.0,0.0,81.5,0.0,0.0,11.7,0.0,114.0,0.03,11.0,94.0,139.0,38.0,0.39,0.001,1.8,29.0,30.0,6.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.052,0.136,0.103,0.057,0.0,0.5,16.5,0.3,0.0,0.0,0.0,0.0,0.0,11.0,1.72,0.062,0.05,0.031,0.078,0.09,0.28,0.792,0.286,0.641,0.106,0.012,0.004,0.0,0.043,0.0,0.004,0.001,0.0,0.002,0.636,0.1
1202,"Flavored milk, whole","Flavored milk, whole",2705467,11511100,"Chocolate milk, whole",巧克力 牛奶，全脂/完整,Survey (FNDDS),,3.17,3.39,10.3,83.0,0.0,82.3,1.0,23.0,9.54,0.8,112.0,0.24,13.0,101.0,167.0,60.0,0.41,0.065,1.9,26.0,27.0,7.0,0.0,0.07,1.3,0.0,0.0,0.0,0.9,0.037,0.162,0.125,0.04,5.0,0.33,17.0,0.3,0.0,5.0,5.0,0.0,0.0,12.0,2.1,0.101,0.06,0.035,0.078,0.088,0.315,0.889,0.466,0.872,0.078,0.046,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.99,0.124
1202,"Flavored milk, whole","Flavored milk, whole",2705479,11513801,"Chocolate milk, reduced sugar, whole",巧克力 牛奶，减少 糖，全脂/完整,Survey (FNDDS),sugar free,3.04,2.92,8.38,73.0,0.0,84.8,1.0,24.0,7.79,0.0,109.0,0.0,15.0,95.0,155.0,46.0,0.43,0.035,1.8,27.0,28.0,6.0,0.0,0.04,1.0,0.0,0.0,0.0,0.0,0.05,0.126,0.114,0.054,0.0,0.47,15.7,0.3,0.0,0.0,0.0,0.0,0.0,10.0,1.63,0.059,0.047,0.03,0.073,0.085,0.265,0.749,0.27,0.607,0.101,0.011,0.003,0.0,0.041,0.0,0.003,0.001,0.0,0.002,0.602,0.094
1202,"Flavored milk, whole","Flavored milk, whole",2705402,11220000,"Milk, condensed, sweetened",牛奶，condensed，加糖,Survey (FNDDS),La Lechera,7.91,8.7,54.4,321.0,0.0,27.2,0.0,0.0,54.4,0.0,284.0,0.19,26.0,253.0,371.0,127.0,0.94,0.015,14.8,73.0,74.0,14.0,0.0,0.16,0.2,0.0,0.0,0.0,2.6,0.09,0.416,0.21,0.051,11.0,0.44,89.1,0.6,0.0,11.0,11.0,0.0,0.0,34.0,5.49,0.282,0.167,0.097,0.073,0.18,0.783,2.4,1.21,2.19,0.216,0.121,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,2.43,0.337
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705480,11513802,"Chocolate milk, reduced sugar, reduced fat (2%)",巧克力 牛奶，减少 糖，减脂 （2%）,Survey (FNDDS),sugar free,3.11,1.78,8.62,63.0,0.0,85.7,1.0,24.0,7.86,0.0,112.0,0.0,15.0,97.0,163.0,47.0,0.44,0.035,1.7,73.0,73.0,3.0,0.0,0.03,1.0,0.0,0.0,0.0,0.2,0.053,0.125,0.12,0.054,2.0,0.48,16.0,0.2,0.0,2.0,2.0,0.0,0.0,7.0,0.971,0.036,0.028,0.018,0.043,0.051,0.158,0.448,0.161,0.359,0.053,0.006,0.003,0.0,0.025,0.0,0.002,0.0,0.0,0.001,0.35,0.051
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705497,11519105,"Strawberry milk, reduced fat (2%)",草莓 牛奶，减脂 （2%）,Survey (FNDDS),other flavors,3.16,1.8,10.7,71.0,0.0,83.6,0.0,0.0,10.5,0.0,118.0,0.03,11.0,97.0,150.0,39.0,0.4,0.001,1.7,78.0,78.0,3.0,0.0,0.03,1.0,0.0,0.0,0.0,0.2,0.056,0.135,0.11,0.057,2.0,0.52,17.1,0.2,0.0,2.0,2.0,0.0,0.0,8.0,1.04,0.038,0.03,0.02,0.046,0.054,0.17,0.48,0.173,0.385,0.057,0.007,0.003,0.0,0.027,0.0,0.002,0.0,0.0,0.001,0.375,0.054
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705468,11511200,"Chocolate milk, reduced fat (2%)",巧克力 牛奶，减脂 （2%）,Survey (FNDDS),,2.99,1.9,12.1,76.0,0.0,82.2,1.0,22.0,9.55,0.7,109.0,0.24,14.0,102.0,169.0,66.0,0.39,0.075,3.4,63.0,64.0,11.0,0.0,0.04,1.2,0.0,0.0,0.0,0.0,0.045,0.183,0.164,0.024,2.0,0.33,17.1,0.2,0.0,2.0,2.0,0.0,0.0,8.0,1.18,0.056,0.033,0.02,0.045,0.045,0.17,0.515,0.27,0.43,0.08,0.0,0.0,0.0,0.02,0.009,0.0,0.0,0.0,0.0,0.455,0.089
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705491,11514330,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",辣/热 巧克力/可可，减少 糖，制成 含 全脂/完整 或 减脂 （2%） 牛奶,Survey (FNDDS),NS as to milk;sugar free,2.99,1.73,10.4,69.0,0.0,84.1,1.0,36.0,9.31,0.0,105.0,0.0,16.0,94.0,164.0,50.0,0.44,0.052,1.7,68.0,68.0,2.0,0.0,0.03,0.9,0.0,0.0,1.0,0.2,0.047,0.119,0.124,0.049,2.0,0.42,14.2,0.2,0.0,2.0,2.0,0.0,0.0,7.0,0.903,0.033,0.026,0.017,0.04,0.047,0.147,0.416,0.15,0.333,0.05,0.006,0.002,0.0,0.024,0.0,0.002,0.0,0.0,0.001,0.325,0.047
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705473,11512010,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",辣/热 巧克力/可可，制成 含 全脂/完整 或 减脂 （2%） 牛奶,Survey (FNDDS),NS as to milk,2.73,1.54,16.5,91.0,0.0,78.4,3.0,30.0,15.2,0.0,102.0,0.0,17.0,95.0,152.0,60.0,0.45,0.058,1.7,68.0,68.0,2.0,0.0,0.03,0.9,0.0,0.0,1.0,0.2,0.047,0.117,0.123,0.049,2.0,0.42,14.2,0.2,0.0,2.0,2.0,0.0,0.0,7.0,0.903,0.033,0.026,0.017,0.04,0.047,0.147,0.416,0.15,0.333,0.05,0.006,0.002,0.0,0.024,0.0,0.002,0.0,0.0,0.001,0.325,0.047
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705489,11514320,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",辣/热 巧克力/可可，干粉 混合物，减少 糖，制成 含 全脂/完整 或 减脂 （2%） 牛奶,Survey (FNDDS),sugar free,4.35,1.99,10.4,77.0,0.0,82.1,2.0,54.0,7.56,0.6,163.0,0.4,28.0,167.0,367.0,107.0,0.68,0.061,3.0,77.0,77.0,3.0,0.0,0.03,1.0,0.0,0.0,1.0,0.2,0.073,0.24,0.191,0.079,3.0,0.58,25.3,0.2,0.0,3.0,3.0,0.0,0.0,7.0,1.16,0.04,0.03,0.02,0.046,0.054,0.17,0.537,0.237,0.454,0.062,0.007,0.003,0.0,0.028,0.0,0.002,0.0,0.0,0.001,0.447,0.06
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705484,11514110,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",辣/热 巧克力/可可，干粉 混合物，制成 含 全脂/完整 或 减脂 （2%） 牛奶,Survey (FNDDS),,3.81,2.18,15.5,97.0,0.0,77.3,2.0,43.0,13.1,0.5,127.0,0.16,22.0,132.0,233.0,102.0,0.57,0.039,2.2,72.0,72.0,3.0,0.0,0.05,1.0,0.0,0.0,1.0,0.2,0.061,0.195,0.176,0.065,2.0,0.5,19.4,0.3,0.0,2.0,2.0,0.0,0.0,7.0,1.28,0.037,0.028,0.018,0.043,0.051,0.161,0.589,0.318,0.532,0.067,0.006,0.003,0.0,0.026,0.0,0.002,0.0,0.0,0.001,0.525,0.066
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705501,11526000,"Milk, malted",牛奶，malted,Survey (FNDDS),Ovaltine,3.19,2.05,8.64,66.0,0.0,85.1,0.0,0.0,7.81,0.0,159.0,0.71,21.0,98.0,149.0,60.0,1.0,0.079,1.8,114.0,114.0,4.0,0.0,0.56,1.4,0.0,0.0,0.0,2.4,0.113,0.131,0.89,0.137,1.0,0.53,17.2,0.2,0.0,1.0,1.0,0.53,0.0,8.0,1.2,0.044,0.034,0.022,0.054,0.062,0.195,0.551,0.199,0.445,0.071,0.008,0.003,0.0,0.031,0.0,0.002,0.0,0.0,0.001,0.438,0.067
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705477,11513380,"Chocolate milk, Nesquik, NS as to type of milk",巧克力 牛奶，Nesquik，未说明 类型 的 牛奶,Survey (FNDDS),,3.41,2.15,10.1,74.0,0.0,83.5,0.0,17.0,9.62,0.3,146.0,0.0,15.0,102.0,164.0,45.0,0.82,0.057,1.9,54.0,54.0,4.0,0.0,0.03,1.0,0.0,0.0,0.0,1.8,0.054,0.132,0.115,0.113,1.0,0.52,17.0,0.3,0.0,1.0,1.0,0.0,0.0,8.0,1.31,0.043,0.034,0.022,0.053,0.061,0.192,0.607,0.267,0.436,0.069,0.008,0.003,0.0,0.03,0.0,0.002,0.0,0.0,0.001,0.43,0.066
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705495,11519040,"Strawberry milk, NFS",草莓 牛奶，未特别说明,Survey (FNDDS),other flavors,3.2,2.06,8.54,65.0,0.0,85.4,0.0,0.0,8.45,0.0,121.0,0.02,12.0,99.0,150.0,39.0,0.41,0.001,1.8,55.0,55.0,4.0,0.0,0.03,1.1,0.0,0.0,0.0,0.1,0.055,0.136,0.109,0.059,1.0,0.54,17.2,0.2,0.0,1.0,1.0,0.0,0.0,8.0,1.2,0.044,0.035,0.022,0.054,0.062,0.196,0.553,0.2,0.447,0.071,0.008,0.003,0.0,0.031,0.0,0.002,0.0,0.0,0.001,0.44,0.067
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705487,11514160,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",辣/热 巧克力/可可，干粉 混合物，制成 含 水，含 打发 奶油,Survey (FNDDS),with marshmallows;made with any milk,0.94,1.83,11.2,65.0,0.0,85.4,2.0,42.0,8.81,0.5,22.0,0.15,12.0,43.0,96.0,69.0,0.2,0.045,0.8,12.0,12.0,0.0,0.0,0.06,0.1,0.0,0.0,1.0,0.0,0.014,0.08,0.078,0.016,1.0,0.04,4.9,0.2,0.0,1.0,1.0,0.0,0.0,4.0,1.06,0.029,0.023,0.014,0.034,0.04,0.13,0.487,0.271,0.465,0.041,0.005,0.002,0.0,0.025,0.0,0.002,0.0,0.0,0.001,0.443,0.073
1204,"Flavored milk, reduced fat","Flavored milk, reduced fat",2705476,11512100,"Hot chocolate / cocoa, with whipped cream",辣/热 巧克力/可可，含 打发 奶油,Survey (FNDDS),with marshmallows,2.7,2.8,16.2,101.0,0.0,77.5,3.0,29.0,14.9,0.0,101.0,0.0,17.0,93.0,150.0,58.0,0.44,0.056,1.8,77.0,77.0,2.0,0.0,0.06,0.9,0.0,0.0,1.0,0.2,0.046,0.119,0.12,0.048,2.0,0.41,14.3,0.3,0.0,2.0,2.0,0.0,0.0,10.0,1.62,0.059,0.048,0.031,0.072,0.085,0.267,0.746,0.262,0.615,0.076,0.01,0.004,0.0,0.047,0.0,0.004,0.0,0.0,0.002,0.584,0.103
1206,"Flavored milk, lowfat","Flavored milk, lowfat",2705466,11511000,"Chocolate milk, NFS",巧克力 牛奶，未特别说明,Survey (FNDDS),,3.44,0.83,11.0,65.0,0.0,84.0,1.0,14.0,9.55,0.1,128.0,0.24,13.0,97.0,174.0,68.0,0.42,0.04,1.9,54.0,55.0,4.0,0.0,0.01,1.1,0.0,0.0,0.0,0.6,0.034,0.227,0.134,0.041,3.0,0.25,16.6,0.1,0.0,3.0,3.0,0.0,0.0,4.0,0.462,0.014,0.01,0.006,0.016,0.019,0.068,0.201,0.09,0.186,0.029,0.004,0.002,0.0,0.011,0.0,0.002,0.001,0.0,0.001,0.225,0.037
